question_id,category,question,model_answer,keywords
1,HR,Tell me about yourself.,I am a final year computer science student with strong interest in software development and problem solving. I have worked on projects involving web development and data analysis and I am looking for an opportunity to apply my technical skills in a challenging role while continuing to learn.,computer science;projects;skills;opportunity;learn
2,HR,Why should we hire you?,I have the right combination of technical skills and problem solving ability required for this role. I am a quick learner adaptable to new environments and I am genuinely passionate about contributing to the growth of the company while growing my own career.,skills;problem solving;quick learner;adaptable;passionate
3,HR,What are your strengths?,My key strengths are strong analytical thinking good communication skills and the ability to work well in a team. I am also very consistent and disciplined when it comes to meeting deadlines.,analytical thinking;communication;teamwork;consistent;deadlines
4,HR,What are your weaknesses?,One area I am working on is public speaking. I used to feel nervous while presenting in front of large groups but I have been actively practicing and taking part in more presentations to improve this skill.,public speaking;nervous;practicing;improve;skill
5,HR,Where do you see yourself in five years?,In five years I see myself in a position of greater technical responsibility where I have grown into a subject matter expert and possibly mentor junior team members while continuing to contribute to impactful projects.,five years;responsibility;expert;mentor;contribute
6,HR,Why do you want to work for our company?,Your company has a strong reputation for innovation and a culture that encourages learning and growth. I am excited about the opportunity to work on meaningful projects and contribute to a team that values quality work.,reputation;innovation;culture;learning;contribute
7,HR,Describe a time you faced a conflict at work or in a team project.,During a group project we disagreed on the technical approach to take. I suggested we list the pros and cons of each approach and discuss them openly with the team lead which helped us reach a decision that everyone was comfortable with.,conflict;team;discuss;approach;decision
8,HR,How do you handle pressure or stressful situations?,I handle pressure by breaking down the task into smaller manageable steps and prioritizing what needs to be done first. I also make sure to stay organized and communicate clearly with my team when deadlines are tight.,pressure;prioritize;organized;communicate;deadlines
9,HR,What motivates you to do good work?,I am motivated by solving challenging problems and seeing the real impact of my work. Learning new skills and receiving constructive feedback also keeps me motivated to improve continuously.,motivated;challenging;impact;learning;feedback
10,HR,Do you prefer working independently or in a team?,I am comfortable working both independently and in a team depending on the task. For complex projects I enjoy collaborating with others because different perspectives often lead to better solutions.,independently;team;collaborate;perspectives;solutions
11,HR,How do you prioritize your tasks when you have multiple deadlines?,I prioritize tasks based on urgency and importance using a simple to do list or a priority matrix. I focus on high impact tasks first and communicate early if I foresee any delays.,prioritize;urgency;importance;impact;communicate
12,HR,Tell me about a mistake you made and what you learned from it.,In one project I underestimated the time needed for testing which caused a delay. I learned the importance of allocating sufficient time for testing and now I always add extra buffer time in my project plans.,mistake;underestimated;testing;learned;buffer time
13,HR,What are your salary expectations?,I am looking for a role where I can grow and contribute meaningfully and I am open to discussing a fair salary based on the industry standard and the responsibilities of the role.,salary;grow;contribute;industry standard;responsibilities
14,HR,Why are you leaving your current job or internship?,I am looking for new challenges and an opportunity to grow further in my career. I feel this role aligns much better with my long term goals and interests.,new challenges;opportunity;grow;career;goals
15,HR,How do you keep yourself updated with new technologies?,I regularly read technical blogs follow relevant communities online and take part in online courses. I also try to build small personal projects to practically apply new technologies that I learn.,updated;technologies;blogs;online courses;projects
16,Technical,What is the difference between a list and a tuple in Python?,A list is mutable meaning its elements can be changed after creation while a tuple is immutable meaning its elements cannot be changed once created. Lists use square brackets and tuples use parentheses.,list;tuple;mutable;immutable;brackets
17,Technical,What is the difference between SQL and NoSQL databases?,SQL databases are relational and use structured tables with fixed schemas while NoSQL databases are non relational and store data in flexible formats such as documents key value pairs or graphs. SQL is better for structured data and NoSQL is better for scalability and unstructured data.,SQL;NoSQL;relational;schema;scalability
18,Technical,Explain the concept of Object Oriented Programming.,Object oriented programming is a programming paradigm based on the concept of objects which contain data and methods. Its main principles are encapsulation inheritance polymorphism and abstraction which help make code more reusable and organized.,object;encapsulation;inheritance;polymorphism;abstraction
19,Technical,What is the time complexity of binary search?,Binary search has a time complexity of order log n because it repeatedly divides the search space in half. It requires the input array to be sorted for it to work correctly.,binary search;log n;divides;sorted;search space
20,Technical,What is a hash table and how does it work?,A hash table is a data structure that stores key value pairs and uses a hash function to compute an index into an array of buckets where the value can be found. It provides average constant time complexity for insertion search and deletion.,hash table;key value;hash function;index;constant time
21,Technical,What is the difference between process and thread?,A process is an independent program in execution with its own memory space while a thread is a smaller unit of execution within a process that shares memory with other threads of the same process. Threads are generally lighter weight than processes.,process;thread;memory;independent;lightweight
22,Technical,Explain the difference between supervised and unsupervised learning.,Supervised learning uses labeled data where the model learns to map inputs to known outputs while unsupervised learning uses unlabeled data where the model tries to find hidden patterns or groupings on its own such as clustering.,supervised;unsupervised;labeled;patterns;clustering
23,Technical,What is overfitting in machine learning and how can it be avoided?,Overfitting occurs when a model learns the training data too well including its noise so that it performs poorly on new unseen data. It can be avoided using techniques like cross validation regularization and using more training data.,overfitting;training data;noise;regularization;cross validation
24,Technical,What is the difference between GET and POST HTTP methods?,GET is used to request data from a server and appends parameters in the URL while POST is used to send data to a server usually in the request body making it more suitable for sensitive or large data.,GET;POST;request;URL;request body
25,Technical,What is normalization in database design?,Normalization is the process of organizing data in a database to reduce redundancy and improve data integrity by dividing large tables into smaller related tables and defining relationships between them.,normalization;database;redundancy;integrity;tables
